Rank,Title,Author,Ratings,Price,No_of_Reviews,Cover_Type,Year_of_List,Genre
1,The Lost Symbol,Dan Brown,4.4,12.49,16118,Hardcover,2009,Fiction
2,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,13.4,23392,Paperback,2009,Fiction
3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,9.93,5036,Hardcover,2009,Non-Fiction
4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.7,14.3,16912,Hardcover,2009,Fiction
5,Going Rogue: An American Life,Sarah Palin,4.6,9.99,1572,Hardcover,2009,Non-Fiction
6,StrengthsFinder 2.0,Gallup,4.1,18.29,7082,Hardcover,2009,Non-Fiction
7,The Help,Kathryn Stockett,4.8,12.66,18068,Hardcover,2009,Fiction
8,New Moon (The Twilight Saga),Stephenie Meyer,4.7,17.56,12329,Paperback,2009,Fiction
9,The Twilight Saga Collection,Stephenie Meyer,4.7,58.9,6100,Hardcover,2009,Fiction
10,Outliers: The Story of Success,Malcolm Gladwell,4.7,16.04,22209,Hardcover,2009,Non-Fiction
11,Eclipse (Twilight),Stephenie Meyer,4.7,19.62,12771,Hardcover,2009,Fiction
12,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,15.49,22103,Paperback,2009,Fiction
13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,5.91,1421,Paperback,2009,Non-Fiction
14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.4,11.49,3497,Paperback,2009,Non-Fiction
15,The Love Dare,Stephen Kendrick,4.8,11.78,3298,Paperback,2009,Non-Fiction
16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,20.45,7043,Hardcover,2009,Non-Fiction
17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.7,11.6,7979,Hardcover,2009,Fiction
18,Under the Dome: A Novel,Stephen King,4.4,31.61,9110,Hardcover,2009,Fiction
19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,10.42,14884,Paperback,2009,Fiction
20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,10.76,929,Paperback,2009,Non-Fiction
21,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,10.5,895,Hardcover,2009,Non-Fiction
22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,4.8,28.49,7568,Hardcover,2009,Non-Fiction
23,Sookie Stackhouse,Charlaine Harris,4.7,82.15,995,Mass Market Paperback,2009,Fiction
24,The Time Traveler's Wife,Audrey Niffenegger,4.5,9.99,6592,Paperback,2009,Fiction
25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,24.29,12674,Paperback,2009,Non-Fiction
26,True Compass: A Memoir,Edward M. Kennedy,4.5,13.98,509,Hardcover,2009,Non-Fiction
27,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.5,9.49,15466,Paperback,2009,Fiction
28,The 5000 Year Leap,W. Cleon Skousen,4.8,16.6,2565,Paperback,2009,Non-Fiction
29,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2009,Non-Fiction
30,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,23.9,12771,Paperback,2009,Fiction
31,Where the Wild Things Are,Maurice Sendak,4.9,13.2,32044,Hardcover,2009,Fiction
32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6262,Hardcover,2009,Non-Fiction
33,Olive Kitteridge,Elizabeth Strout,4.3,8.77,11519,Paperback,2009,Fiction
34,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.7,11.74,2790,Hardcover,2009,Fiction
35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,14.97,1158,Paperback,2009,Non-Fiction
36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.6,17.54,2373,Hardcover,2009,Non-Fiction
37,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,12.99,5732,Paperback,2009,Non-Fiction
38,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,16.48,1920,Paperback,2009,Non-Fiction
39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,10.44,14955,Hardcover,2009,Fiction
40,The Elegance of the Hedgehog,Muriel Barbery,4.2,9.09,3486,Paperback,2009,Fiction
41,"I, Alex Cross",James Patterson,4.6,9.8,3242,Hardcover,2009,Fiction
42,The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,22.8,10693,Hardcover,2009,Fiction
43,The Last Lecture,Randy Pausch,4.7,14.95,5899,Hardcover,2009,Non-Fiction
44,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,14.72,886,Paperback,2009,Non-Fiction
45,Watchmen,Alan Moore,4.8,33.99,7746,Paperback,2009,Fiction
46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,19.99,1676,Paperback,2009,Non-Fiction
47,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,25,1387,Hardcover,2009,Non-Fiction
48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",Zhi Gang Sha,4.6,16,60,Hardcover,2009,Non-Fiction
51,Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,4.8,21.98,9371,Hardcover,2009,Fiction
52,Open: An Autobiography,Andre Agassi,4.7,15.71,8639,Hardcover,2009,Non-Fiction
53,Pride and Prejudice and Zombies,Jane Austen,4.3,9.78,2047,Paperback,2009,Fiction
54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,"Lifetime Television,",4.3,10.95,888,Paperback,2009,Non-Fiction
55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,4.4,9.54,901,Paperback,2009,Non-Fiction
56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,18.49,11833,Hardcover,2009,Non-Fiction
57,A Bold Fresh Piece of Humanity,Bill O'Reilly,4.7,7.96,764,Hardcover,2009,Non-Fiction
58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,14.52,5477,Hardcover,2009,Non-Fiction
59,The Book Thief,Markus Zusak,4.7,6.99,34536,Paperback,2009,Fiction
60,South of Broad,Pat Conroy,4.5,15.85,2484,Hardcover,2009,Fiction
61,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.6,10.33,3678,Paperback,2009,Non-Fiction
62,The Host,Stephenie Meyer,4.6,20.58,9715,Hardcover,2009,Fiction
63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,4.3,9.79,929,Hardcover,2009,Non-Fiction
64,Ford County: Stories,John Grisham,4.4,11.3,4306,Hardcover,2009,Fiction
65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,4.6,9.06,1094,Hardcover,2009,Non-Fiction
66,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,4.5,11.04,8638,Paperback,2009,Non-Fiction
67,"Diary of a Wimpy Kid, Book 1",Jeff Kinney,4.8,16.97,16590,Hardcover,2009,Fiction
68,The Graveyard Book,Neil Gaiman,4.7,15.2,7133,Hardcover,2009,Fiction
69,An Echo in the Bone (Outlander),Diana Gabaldon,4.8,28.99,16893,Hardcover,2009,Fiction
70,"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,4.8,19.81,6337,Hardcover,2009,Fiction
71,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,4.7,16.99,7581,Paperback,2009,Non-Fiction
72,Pirate Latitudes: A Novel,Michael Crichton,4.3,14.49,2837,Hardcover,2009,Fiction
73,The Official SAT Study Guide: For the New SAT (tm),The College Board,4.5,6.21,267,Paperback,2009,Non-Fiction
74,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.6,24.95,4736,Paperback,2009,Non-Fiction
75,How to Win Friends & Influence People,Dale Carnegie,4.7,10.5,79094,Paperback,2009,Non-Fiction
76,The Official SAT Study Guide,The College Board,4.4,41,1526,Paperback,2009,Non-Fiction
77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,4.6,14.01,3294,Hardcover,2009,Fiction
78,Sarah's Key,Tatiana de Rosnay,4.6,10.83,4784,Paperback,2009,Fiction
79,From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,4.7,7.99,2080,Mass Market Paperback,2009,Fiction
80,Wolf Hall,Hilary Mantel,4.1,34.23,10808,Hardcover,2009,Fiction
81,The Hunger Games,Suzanne Collins,4.7,22.6,42770,Hardcover,2009,Fiction
82,The Yankee Years,Joe Torre,4.6,13.2,425,Hardcover,2009,Non-Fiction
83,Push: A Novel,Sapphire,4.6,23.95,1477,Paperback,2009,Fiction
84,The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,4.3,14.95,956,Hardcover,2009,Non-Fiction
85,The Lacuna: A Novel,Barbara Kingsolver,4.3,11.52,1787,Hardcover,2009,Fiction
86,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,4.5,17.99,772,Paperback,2009,Non-Fiction
87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,4.7,10.97,2194,Hardcover,2009,Non-Fiction
88,The Associate,John Grisham,4.4,11.95,3826,Hardcover,2009,Fiction
89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,4.7,22.72,2189,Hardcover,2009,Non-Fiction
90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,4.5,9.99,312,Paperback,2009,Non-Fiction
91,Pursuit of Honor,Vince Flynn,4.7,9.31,3525,Hardcover,2009,Fiction
92,What the Dog Saw: And Other Adventures,Malcolm Gladwell,4.6,23.65,2143,Hardcover,2009,Non-Fiction
93,The Last Song,Nicholas Sparks,4.7,13.99,3597,Hardcover,2009,Fiction
94,Atlas Shrugged,Ayn Rand,4.5,17.99,14137,Paperback,2009,Fiction
95,The White Tiger: A Novel,Aravind Adiga,4.3,10.79,6013,Paperback,2009,Fiction
96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,3.5,17.89,766,Hardcover,2009,Non-Fiction
97,Same Kind of Different As Me,Ron Hall,4.7,16.14,4841,Paperback,2009,Fiction
98,U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,4.6,12.85,2801,Hardcover,2009,Fiction
99,Catching Fire (The Hunger Games),Suzanne Collins,4.7,9.49,32459,Hardcover,2009,Fiction
1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,11.93,11051,Hardcover,2010,Fiction
2,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.5,9.49,15466,Paperback,2010,Fiction
3,Decision Points,George W. Bush,4.6,8.96,2399,Hardcover,2010,Non-Fiction
4,The Help,Kathryn Stockett,4.8,13.78,18068,Hardcover,2010,Fiction
5,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,11.12,10693,Paperback,2010,Fiction
6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,11.71,10589,Hardcover,2010,Fiction
7,StrengthsFinder 2.0,Gallup,4.1,18.29,7082,Hardcover,2010,Non-Fiction
8,Mockingjay (The Hunger Games),Suzanne Collins,4.6,9.08,37034,Hardcover,2010,Fiction
9,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.4,13.92,1967,Hardcover,2010,Non-Fiction
10,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,24.29,12674,Paperback,2010,Non-Fiction
11,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.4,22,612,Hardcover,2010,Non-Fiction
12,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,18.24,5893,Hardcover,2010,Non-Fiction
13,Food Rules: An Eater's Manual,Michael Pollan,4.5,11.57,2494,Paperback,2010,Non-Fiction
14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,14.54,33629,Hardcover,2010,Non-Fiction
15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.6,9.03,3296,Hardcover,2010,Fiction
16,Sh*t My Dad Says,Justin Halpern,4.7,14.99,1781,Hardcover,2010,Non-Fiction
17,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,16.48,1920,Paperback,2010,Non-Fiction
18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.7,10.59,6165,Hardcover,2010,Fiction
19,Life,Keith Richards,4.6,13.8,4699,Hardcover,2010,Non-Fiction
20,Cutting for Stone,Abraham Verghese,4.6,12,6790,Paperback,2010,Fiction
21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.5,12.89,576,Hardcover,2010,Non-Fiction
22,The Official SAT Study Guide,The College Board,4.4,41,1526,Paperback,2010,Non-Fiction
23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.5,7.92,1358,Hardcover,2010,Non-Fiction
24,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,14.19,16936,Hardcover,2010,Non-Fiction
25,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,14.53,11549,Hardcover,2010,Fiction
26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.5,22.99,860,Paperback,2010,Non-Fiction
27,Outliers: The Story of Success,Malcolm Gladwell,4.7,16.04,22209,Hardcover,2010,Non-Fiction
28,Catching Fire (The Hunger Games),Suzanne Collins,4.7,9.49,32459,Hardcover,2010,Fiction
29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6296,Hardcover,2010,Non-Fiction
30,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2010,Non-Fiction
